,Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime,Percentage Difference (Correlated - Booles),Percentage Difference (Correlated - Independent),Percentage Difference (MC Correlated - Theoretical Correlated),Percentage Difference (MC Correlated - Theoretical Independent)
0,drones_instance-1_network_1_deadline_13_corrsize_2,drones,1,1,1,1,13,2,2.4100028718791258,0.7161241599999999,0.5328,29,0.9969,0.9999,0.9999,1.0,0.9996833277018298,0.9996921176947864,0.1093654632568359,0.1523692607879638,0.5722219944000244,0.3000300030003003,0.0,0.020790309552317705,0.021669396756699627
2,drones_instance-12_network_10_deadline_10_corrsize_3,drones,12,2,1,10,10,3,30.31013501014475,0.1031440352814769,0.8454,29,0.8726,0.8741,0.8737,0.8486442872847086,0.877797457540087,0.8730095012157132,0.1159136295318603,0.2202212810516357,5.24013090133667,0.12590133913242416,-0.04578230513905871,0.07903156510093184,-0.4689776284865453
5,drones_instance-12_network_10_deadline_10_corrsize_4,drones,12,2,1,10,10,3,15.61903167948409,0.1856527634244591,0.8858,29,0.6684,0.6687,0.6687,0.581855456058804,0.6356756105376459,0.6610418054016707,0.1487371921539306,0.2002050876617431,0.4652473926544189,0.04486316733960924,0.0,1.1452362192805865,4.938595702460608
6,drones_instance-12_network_10_deadline_11_corrsize_2,drones,12,2,1,10,11,2,8.606186387475471,0.4854792844172543,0.5736,29,0.997,0.9992,0.9992,1.0,0.9991214776924342,0.9990668010907392,0.1169660091400146,0.1580944061279297,0.1297826766967773,0.22017614091272816,0.0,0.01333055537037418,0.007858517570634101
7,drones_instance-12_network_10_deadline_11_corrsize_3,drones,12,2,1,10,11,3,16.301266919764156,0.0341621164501052,0.8889,29,0.9653,0.9666,0.9665,0.9508227490058796,0.9617350231546709,0.9665645722493522,0.1138980388641357,0.2153127193450927,4.644149541854858,0.1241593378168628,-0.010346611484737608,-0.006681039767427887,0.4930136415239702
9,drones_instance-12_network_10_deadline_12_corrsize_2,drones,12,2,1,10,12,2,15.477795236769197,0.5771401844873615,0.4922,29,0.9976,0.9983,0.9981,1.0,0.998360379649836,0.9984356399278724,0.1111147403717041,0.496234655380249,0.1729435920715332,0.05009518084359733,-0.02003807233743893,-0.03362788577020782,-0.02608753129306193
10,drones_instance-12_network_10_deadline_12_corrsize_3,drones,12,2,1,10,12,3,46.32779593230238,0.7871662693801788,0.3156,29,0.9118,0.9123,0.9124,0.8846643013847794,0.9072222945772376,0.9096959536071711,0.1223645210266113,0.2397968769073486,0.4543766975402832,0.06576063130205326,0.010960105217008876,0.2963663297708067,0.5674819621615973
11,drones_instance-12_network_10_deadline_12_corrsize_4,drones,12,2,1,10,12,3,10.12101462580688,0.8791912403931249,0.1946,29,0.9797,0.9803,0.9803,0.9722928341888416,0.9784684664933612,0.9784418250838312,0.2283937931060791,0.216799259185791,1.180243730545044,0.0612057533408073,0.0,0.18955165930519205,0.18683398007128255
12,drones_instance-12_network_10_deadline_13_corrsize_2,drones,12,2,1,10,13,2,11.510685333402604,0.3228605390334015,0.8082,29,0.9985,0.9999,0.9999,1.0,0.9996833277018298,0.9997058962297884,0.1134686470031738,0.1678621768951416,1.0024192333221436,0.1400140014001357,0.0,0.01941231825298152,0.021669396756699627
13,drones_instance-12_network_10_deadline_13_corrsize_3,drones,12,2,1,10,13,3,32.393837500950504,0.6998224682798279,0.5202,29,0.157,0.164,0.1693,0.1125329076222889,0.1523616904745727,0.1678455660097477,0.1156444549560546,0.2305953502655029,1.0076332092285156,7.2652096869462515,3.130537507383343,0.8590868223581228,10.004908166229946
14,drones_instance-12_network_10_deadline_13_corrsize_4,drones,12,2,1,10,13,3,17.117555640179045,0.3640450717217681,0.5749,29,0.9971,0.9999,0.9999,1.0,0.9996833277018298,0.9996969855031336,0.1444265842437744,0.1889066696166992,1.0919771194458008,0.2800280028002825,0.0,0.02030348003464729,0.021669396756699627
15,drones_instance-12_network_10_deadline_14_corrsize_2,drones,12,2,1,10,14,2,13.343085212670786,0.21702463979536,0.8742,29,0.9984,0.9999,0.9999,1.0,0.9996833277018298,0.9997190422174392,0.2201654911041259,0.1657750606536865,1.1034371852874756,0.1500150015001557,0.0,0.018097588014879044,0.021669396756699627
16,drones_instance-12_network_10_deadline_14_corrsize_3,drones,12,2,1,10,14,3,11.326725598736973,0.5752203937138165,0.4404,29,0.9938,0.9953,0.995,0.9923311766775156,0.9934082156395128,0.993227195496334,0.1151597499847412,0.2213830947875976,0.7081124782562256,0.12060301507537477,-0.0301507537688409,0.178171306901107,0.15997832768715942
17,drones_instance-12_network_10_deadline_14_corrsize_4,drones,12,2,1,10,14,3,21.03051147066598,0.4875066927505332,0.621,29,0.998,0.9985,0.9985,0.9992043190357672,0.997702657578326,0.9977008501537876,0.114741563796997,0.4949386119842529,0.1605017185211181,0.0500751126690091,0.0,0.08003503717700874,0.07985402320220963
18,drones_instance-12_network_1_deadline_10_corrsize_2,drones,12,2,1,1,10,2,23.585919677179536,0.97644511287225,0.1195,29,0.3981,0.3975,0.3976,0.3429274728209348,0.4018009016019898,0.4129454483068439,0.117713451385498,0.2338151931762695,0.2628800868988037,-0.12575452716297797,0.025150905432592807,-3.8595191918621397,-1.0565647892328396
19,drones_instance-12_network_1_deadline_10_corrsize_3,drones,12,2,1,1,10,3,15.980628486108406,0.4792372364819002,0.5227,29,0.3764,0.3934,0.3984,0.2316188162695223,0.2883048014092458,0.3951509890094323,0.1171269416809082,0.2203683853149414,0.8480393886566162,5.522088353413646,1.2550200803212725,0.8155148068693977,27.634336995671234
20,drones_instance-12_network_1_deadline_10_corrsize_4,drones,12,2,1,1,10,3,27.549920123064744,0.859641381353444,0.3645,29,0.9226,0.9239,0.9238,0.9027006724744536,0.9228756592723274,0.9230851343341328,0.2265636920928955,0.2073431015014648,0.3799235820770263,0.12989824637367167,-0.010824853864483657,0.07738316365741543,0.10005853298035905
21,drones_instance-12_network_1_deadline_11_corrsize_2,drones,12,2,1,1,11,2,34.44271278035473,0.78582352762116,0.377,29,0.6997,0.7002,0.7003,0.635247303322214,0.6862324634634641,0.7026379862121542,0.1301758289337158,0.1635150909423828,0.3633449077606201,0.08567756675711051,0.014279594459515776,-0.3338549496150503,2.0087871678617617
22,drones_instance-12_network_1_deadline_11_corrsize_3,drones,12,2,1,1,11,3,12.548821318550402,0.5530488117256317,0.4666,29,0.3502,0.3503,0.3552,0.2410039106513921,0.2985169326922705,0.3564758290312046,0.1164088249206543,0.2397005558013916,1.2372713088989258,1.407657657657659,1.379504504504509,-0.35918610112742133,15.958070751049982
24,drones_instance-12_network_1_deadline_12_corrsize_2,drones,12,2,1,1,12,2,28.333185885178857,0.7540294464639999,0.4932,29,0.4979,0.4989,0.5,0.3902609165567277,0.4497249946303141,0.5056502439489039,0.1131501197814941,0.2125670909881591,0.5349471569061279,0.41999999999999815,0.21999999999999797,-1.1300487897807798,10.055001073937175
25,drones_instance-12_network_1_deadline_12_corrsize_3,drones,12,2,1,1,12,3,13.54452362390754,0.2565496241777025,0.6224,29,0.9914,0.9923,0.9917,0.9924388360401548,0.9935074484700072,0.9938141057932997,0.1878647804260254,0.5239686965942383,6.889996528625488,0.030251083997184427,-0.06050216799434647,-0.21317997310674855,-0.18225758495584687
26,drones_instance-12_network_1_deadline_12_corrsize_4,drones,12,2,1,1,12,3,14.278433759148424,0.5599516542624329,0.4241,29,0.9191,0.9195,0.9195,0.8944503977315041,0.9153328424314028,0.9160059017826752,0.1165125370025634,0.1840333938598632,0.6838147640228271,0.04350190320826057,0.0,0.3799998061255928,0.4531982130067647
27,drones_instance-12_network_1_deadline_13_corrsize_2,drones,12,2,1,1,13,2,22.60033935958967,0.7738243827185024,0.4535,29,0.997,0.9999,0.9999,1.0,0.9996833277018298,0.9996885361575304,0.1350457668304443,0.149519681930542,0.7664434909820557,0.2900290029002914,0.0,0.021148499096871377,0.021669396756699627
28,drones_instance-12_network_1_deadline_13_corrsize_3,drones,12,2,1,1,13,3,13.416547912240436,0.0878321952492323,0.8001,29,0.8267,0.8343,0.8402,0.7829335963122721,0.8222180501465092,0.8385452425700073,0.1542472839355468,0.2011630535125732,4.216192007064819,1.6067602951678122,0.7022137586288867,0.19694803975156625,2.140198744762054
29,drones_instance-12_network_1_deadline_13_corrsize_4,drones,12,2,1,1,13,3,23.325956163570268,0.5617776821732643,0.5354,29,0.8536,0.8564,0.8593,0.8159512016094724,0.849631968598302,0.8567130909215528,0.1187176704406738,0.2242782115936279,2.645882368087769,0.6633306179448304,0.3374839986035032,0.30104842062692466,1.1251054814032257
30,drones_instance-12_network_1_deadline_14_corrsize_2,drones,12,2,1,1,14,2,11.491150756595143,0.9708020849915135,0.1432,29,0.9971,0.9999,0.9999,1.0,0.9996833277018298,0.9996834409658946,0.1130352020263671,0.1283304691314697,0.2250831127166748,0.2800280028002825,0.0,0.02165806921746632,0.021669396756699627
31,drones_instance-12_network_1_deadline_14_corrsize_3,drones,12,2,1,1,14,3,29.680335707433763,0.2069752225487437,0.8379,29,0.9978,0.9986,0.9991,1.0,0.9986058860420076,0.99805614729591,0.1155092716217041,0.5299122333526611,0.2811875343322754,0.13011710539485216,0.05004504053647733,0.10447930178060458,0.0494559061147403
32,drones_instance-12_network_1_deadline_14_corrsize_4,drones,12,2,1,1,14,3,12.546446854539743,0.6927491237582033,0.4863,29,0.9975,1.0,1.0,1.0,0.9996833277018298,0.999683471016108,0.1143453121185302,0.1273193359375,0.2471711635589599,0.24999999999999467,0.0,0.0316528983892006,0.03166722981702286
33,drones_instance-12_network_2_deadline_10_corrsize_2,drones,12,2,1,2,10,2,17.998334987056083,0.7451316234337536,0.5048,29,0.4311,0.4392,0.4394,0.4251609161845313,0.4839045173127359,0.443374907989759,0.1705012321472168,0.2046592235565185,0.4291009902954101,1.8889394629039669,0.04551661356395846,-0.9046217546105982,-10.128474581869803
34,drones_instance-12_network_2_deadline_10_corrsize_3,drones,12,2,1,2,10,3,38.05215654870677,0.5642071590432132,0.454,29,0.6466,0.6455,0.6498,0.6016138711343583,0.6561705180126047,0.6454604797940978,0.1624057292938232,0.2251007556915283,1.7528038024902344,0.49245921822100513,0.6617420744844693,0.6678239775165012,-0.9803813500468892
35,drones_instance-12_network_2_deadline_10_corrsize_4,drones,12,2,1,2,10,3,35.93816450425821,0.3598896021427717,0.7014,29,0.2922,0.2929,0.2997,0.2397551567091685,0.2983371286026473,0.3031007308714195,0.1125800609588623,0.2503118515014648,3.4324207305908203,2.5025025025025043,2.268935602268945,-1.134711668808627,0.454745210995245
