Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
crewplanning_instance-1_network_1_deadline_0_corrsize_2,crewplanning,1,0,0,1,0,2,129.09816664844823,0.18999999999999997,0.9,86,0.2119,0.21195,0.23095,0.09505868034357427,0.12497623083146364,0.22956050076286946,0.06830310821533203,0.11337780952453613,0.30268406867980957
crewplanning_instance-1_network_1_deadline_1_corrsize_2,crewplanning,1,0,0,1,1,2,128.5990796090369,0.18999999999999997,0.9,86,0.70615,0.7058,0.7141,0.5806129689385535,0.6359342749539043,0.7130747733590339,0.0709993839263916,0.1296381950378418,0.5983912944793701
crewplanning_instance-1_network_1_deadline_2_corrsize_2,crewplanning,1,0,0,1,2,2,181.9653944391688,0.18999999999999997,0.9,86,0.915,0.91855,0.91825,0.8738645793982213,0.8994519778505103,0.9202008767717876,0.0682222843170166,0.14998865127563477,1.242600440979004
crewplanning_instance-1_network_2_deadline_0_corrsize_2,crewplanning,1,0,0,2,0,2,41.42569574489433,0.18999999999999997,0.9,86,0.219,0.219,0.2348,0.0950586803435752,0.12497624807319582,0.22971638188026294,0.06839513778686523,0.11245131492614746,0.2754340171813965
crewplanning_instance-1_network_2_deadline_1_corrsize_2,crewplanning,1,0,0,2,1,2,104.92577347520216,0.18999999999999997,0.9,86,0.73865,0.7456,0.7552,0.6369474704914189,0.6907460424818872,0.7573416251966274,0.0685579776763916,0.1336350440979004,1.237022876739502
crewplanning_instance-1_network_2_deadline_2_corrsize_2,crewplanning,1,0,0,2,2,2,73.08176123563604,0.18999999999999997,0.9,86,0.9949,0.9949,0.9949,0.992586284533572,0.9936809237403679,0.9946521347370958,0.06751775741577148,0.32214951515197754,0.11568784713745117
crewplanning_instance-1_network_3_deadline_0_corrsize_2,crewplanning,1,0,0,3,0,2,100.28905445938453,0.18999999999999997,0.9,86,0.20795,0.20795,0.22495,0.09505868034357437,0.12497622294907061,0.22969908744834067,0.06930947303771973,0.11272215843200684,0.33603978157043457
crewplanning_instance-1_network_3_deadline_1_corrsize_2,crewplanning,1,0,0,3,1,2,181.6511902317658,0.18999999999999997,0.9,86,0.62815,0.6324,0.6399,0.4892041211064468,0.5477706881529465,0.6406282509785057,0.06742334365844727,0.12636017799377441,0.5363481044769287
crewplanning_instance-1_network_3_deadline_2_corrsize_2,crewplanning,1,0,0,3,2,2,90.1752152789939,0.18999999999999997,0.9,86,0.98735,0.98735,0.98885,0.9805875030283095,0.9846114518284237,0.987789312353276,0.06800675392150879,0.10077977180480957,0.45729804039001465
crewplanning_instance-4_network_1_deadline_0_corrsize_2,crewplanning,4,0,0,1,0,2,96.66714287448998,0.036099999999999986,0.9,116,nan,0.0515,0.0562,nan,0.031207511821582174,0.05741564812013132,nan,0.3622012138366699,1.5032620429992676
crewplanning_instance-4_network_1_deadline_1_corrsize_2,crewplanning,4,0,0,1,1,2,30.27227318392099,0.036099999999999986,0.9,116,0.62,0.62,0.6252,0.4998383236835589,0.5656295582728254,0.6269022577633606,0.1364119052886963,0.24409937858581543,0.5327813625335693
crewplanning_instance-4_network_1_deadline_2_corrsize_2,crewplanning,4,0,0,1,2,2,39.83549500604465,0.036099999999999986,0.9,116,0.9288,0.9288,0.9307,0.8971830563870625,0.9181322956020441,0.9322476504685521,0.14234685897827148,0.20000433921813965,1.5117483139038086
crewplanning_instance-4_network_2_deadline_0_corrsize_2,crewplanning,4,0,0,2,0,2,37.620569884159856,0.036099999999999986,0.9,116,nan,0.05395,0.0571,nan,0.03122990893873218,0.05734932235389886,nan,0.3475155830383301,1.1872668266296387
crewplanning_instance-4_network_2_deadline_1_corrsize_2,crewplanning,4,0,0,2,1,2,133.07539741187705,0.036099999999999986,0.9,116,0.26475,0.26,0.2698,0.15168443790398428,0.19924299731788075,0.2652888927467527,0.13689112663269043,0.2528390884399414,0.7128701210021973
crewplanning_instance-4_network_2_deadline_2_corrsize_2,crewplanning,4,0,0,2,2,2,23.630145035706423,0.036099999999999986,0.9,116,0.9835,0.9842,0.9845,0.9799949646110268,0.9834288365721844,0.9861355078066337,0.13754796981811523,0.21625828742980957,1.8907909393310547
crewplanning_instance-4_network_3_deadline_0_corrsize_2,crewplanning,4,0,0,3,0,2,74.44890874932797,0.036099999999999986,0.9,116,nan,0.05295,0.05615,nan,0.031232301099883935,0.05727941705952616,nan,0.3288612365722656,1.183246374130249
crewplanning_instance-4_network_3_deadline_1_corrsize_2,crewplanning,4,0,0,3,1,2,50.64850929505238,0.036099999999999986,0.9,116,0.4641,0.4641,0.47225,0.3351242456453098,0.39830784621217186,0.46979063548028666,0.13373541831970215,0.656057596206665,0.7457776069641113
crewplanning_instance-4_network_3_deadline_2_corrsize_2,crewplanning,4,0,0,3,2,2,100.34206359002205,0.036099999999999986,0.9,116,0.67425,0.6825,0.68545,0.5707913532967721,0.6336879778554282,0.6883025075121181,0.13409686088562012,0.2547621726989746,0.4937000274658203
crewplanning_instance-3_network_1_deadline_0_corrsize_2,crewplanning,3,0,0,1,0,2,112.4043324363021,0.036099999999999986,0.9,82,0.10985,0.10985,0.1205,0.043383279070196276,0.06248020798136429,0.11989679833090908,0.11071610450744629,0.16778922080993652,1.192483901977539
crewplanning_instance-3_network_1_deadline_1_corrsize_2,crewplanning,3,0,0,1,1,2,140.53318460167415,0.036099999999999986,0.9,82,0.28435,0.28435,0.3004,0.16415846082933547,0.20953276152396885,0.2964818795558205,0.1121211051940918,0.16689729690551758,0.6231555938720703
crewplanning_instance-3_network_1_deadline_2_corrsize_2,crewplanning,3,0,0,1,2,2,41.02841550385862,0.036099999999999986,0.9,82,0.84905,0.8576,0.8602,0.7926140006140228,0.8324222278270813,0.8596716767674251,0.11071300506591797,0.5358011722564697,0.6506490707397461
crewplanning_instance-3_network_2_deadline_0_corrsize_2,crewplanning,3,0,0,2,0,2,268.68485245091347,0.036099999999999986,0.9,82,0.1057,0.1057,0.11775,0.043383279070196276,0.06248020798136435,0.11983015032440822,0.11229777336120605,0.517326831817627,1.45127534866333
crewplanning_instance-3_network_2_deadline_1_corrsize_2,crewplanning,3,0,0,2,1,2,94.87795382248356,0.036099999999999986,0.9,82,0.3234,0.3297,0.34455,0.20342286020361613,0.25631146538582744,0.3450883439045966,0.11359262466430664,0.22205710411071777,0.7526679039001465
crewplanning_instance-3_network_2_deadline_2_corrsize_2,crewplanning,3,0,0,2,2,2,81.83015803423297,0.036099999999999986,0.9,82,0.66135,0.6652,0.67535,0.5514274905002203,0.6142431089573771,0.6757044209459532,0.1117393970489502,0.20775318145751953,0.9338510036468506
crewplanning_instance-3_network_3_deadline_0_corrsize_2,crewplanning,3,0,0,3,0,2,139.6890813390401,0.036099999999999986,0.9,82,0.10585,0.10585,0.1186,0.043383279070196276,0.06248020798136432,0.1197862329472244,0.11095643043518066,0.5147099494934082,0.49403858184814453
crewplanning_instance-3_network_3_deadline_1_corrsize_2,crewplanning,3,0,0,3,1,2,120.76666530316011,0.036099999999999986,0.9,82,0.30505,0.29955,0.31915,0.17725515151082247,0.22608384382435345,0.31384332086206074,0.11086916923522949,0.22542476654052734,0.5350930690765381
crewplanning_instance-3_network_3_deadline_2_corrsize_2,crewplanning,3,0,0,3,2,2,186.13083030239775,0.036099999999999986,0.9,82,0.45175,0.4584,0.4706,0.32134005542285066,0.38407021502600525,0.4693418209300652,0.11264204978942871,0.20659351348876953,0.787489652633667
crewplanning_instance-2_network_1_deadline_0_corrsize_2,crewplanning,2,0,0,1,0,2,127.75995098993084,0.036099999999999986,0.9,73,0.2155,0.21545,0.2324,0.09505868034357363,0.12496831425674157,0.22810441168417878,0.09028959274291992,0.1294560432434082,0.8209962844848633
crewplanning_instance-2_network_1_deadline_1_corrsize_2,crewplanning,2,0,0,1,1,2,195.41539431379485,0.036099999999999986,0.9,73,0.4048,0.4048,0.42295,0.25293574128384905,0.3041988230723983,0.4235737474724045,0.09124088287353516,0.1341547966003418,0.6198406219482422
crewplanning_instance-2_network_1_deadline_2_corrsize_2,crewplanning,2,0,0,1,2,2,70.16058313913359,0.036099999999999986,0.9,73,0.84105,0.849,0.8519,0.7693477983651887,0.8099057773835137,0.8508985623975351,0.09236526489257812,0.4354252815246582,1.2096459865570068
crewplanning_instance-2_network_2_deadline_0_corrsize_2,crewplanning,2,0,0,2,0,2,78.24704017649924,0.036099999999999986,0.9,73,0.2109,0.21095,0.227,0.09505868034357372,0.12496829538790669,0.2294620911949871,0.0897061824798584,0.13422274589538574,0.7887082099914551
crewplanning_instance-2_network_2_deadline_1_corrsize_2,crewplanning,2,0,0,2,1,2,104.79063574374506,0.036099999999999986,0.9,73,0.48605,0.48575,0.50005,0.3300290337474862,0.3874735661153624,0.5017837518454085,0.09014439582824707,0.15794134140014648,0.6113309860229492
crewplanning_instance-2_network_2_deadline_2_corrsize_2,crewplanning,2,0,0,2,2,2,66.46642662089027,0.036099999999999986,0.9,73,0.8596,0.8596,0.86335,0.7867826797961601,0.8234806682076934,0.8615388420856452,0.0887758731842041,0.1311187744140625,1.5749502182006836
crewplanning_instance-2_network_3_deadline_0_corrsize_2,crewplanning,2,0,0,3,0,2,55.725888059999114,0.036099999999999986,0.9,73,0.217,0.217,0.229,0.09505868034357381,0.12496827139129942,0.22969619241679765,0.08932042121887207,0.13364267349243164,0.6914122104644775
crewplanning_instance-2_network_3_deadline_1_corrsize_2,crewplanning,2,0,0,3,1,2,60.17962797644678,0.036099999999999986,0.9,73,0.5806,0.5826,0.59245,0.4312627991715379,0.49246880991568853,0.5940506135188712,0.08838462829589844,0.17114710807800293,0.7112083435058594
crewplanning_instance-2_network_3_deadline_2_corrsize_2,crewplanning,2,0,0,3,2,2,90.41718101013245,0.036099999999999986,0.9,73,0.78905,0.78905,0.7908,0.6964109692300727,0.7426939567961008,0.7983151036765164,0.08805561065673828,0.1334834098815918,1.4364302158355713
crewplanning_instance-5_network_1_deadline_0_corrsize_2,crewplanning,5,0,0,1,0,2,52.895995809479814,0.006858999999999999,0.9,89,0.052,0.052,0.05765,0.0197994427871287,0.031236146464472387,0.05740526678951436,0.15517663955688477,0.6965770721435547,0.6428275108337402
crewplanning_instance-5_network_1_deadline_1_corrsize_2,crewplanning,5,0,0,1,1,2,26.212095253228345,0.006858999999999999,0.9,89,0.65585,0.6641,0.67305,0.5541238090010175,0.6176345169159164,0.673939939875132,0.1544818878173828,0.26406168937683105,1.0905673503875732
crewplanning_instance-5_network_1_deadline_2_corrsize_2,crewplanning,5,0,0,1,2,2,46.48537941320463,0.006858999999999999,0.9,89,0.8984,0.90395,0.90435,0.8536859892271772,0.8841536503930545,0.9040120924619945,0.15690898895263672,0.3029646873474121,1.217994213104248
