Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
rovers_instance-1_network_1_deadline_0_corrsize_2,rovers,1,0,0,1,0,2,2.398195840957973,0.001303209999999999,0.9,44,0.04095,0.04235,0.061,0.004138713237539819,0.02149498724820574,0.06058590631732553,0.17652678489685059,0.2894277572631836,1.5230271816253662
rovers_instance-1_network_1_deadline_1_corrsize_2,rovers,1,0,0,1,1,2,2.5931170187693247,0.001303209999999999,0.9,44,0.37705,0.44545,0.4669,0.29234380627308115,0.38348331654532375,0.4683977743399308,0.17652273178100586,0.2957930564880371,1.4936766624450684
rovers_instance-1_network_1_deadline_2_corrsize_2,rovers,1,0,0,1,2,2,1.266299627439018,0.001303209999999999,0.9,44,0.94775,0.9485,0.95,0.9152648234671763,0.9335602895814583,0.9473855232032242,0.18152403831481934,0.34578466415405273,2.410794258117676
rovers_instance-1_network_2_deadline_0_corrsize_2,rovers,1,0,0,2,0,2,2.07896283937073,0.001303209999999999,0.9,44,0.03955,0.04395,0.0524,0.004142636542148056,0.014376364022770679,0.051813811642753345,0.18015217781066895,0.3412904739379883,1.3957509994506836
rovers_instance-1_network_2_deadline_1_corrsize_2,rovers,1,0,0,2,1,2,2.5222870123522463,0.001303209999999999,0.9,44,0.4366,0.47735,0.48875,0.2795479227863156,0.3565280134780693,0.4916274250396673,0.17791295051574707,0.2947266101837158,1.7047417163848877
rovers_instance-1_network_2_deadline_2_corrsize_2,rovers,1,0,0,2,2,2,2.3676039556956834,0.001303209999999999,0.9,44,0.81105,0.81615,0.8225,0.729810657628187,0.7777776758444248,0.8226376203792258,0.18991613388061523,0.3417470455169678,4.397984504699707
rovers_instance-1_network_3_deadline_0_corrsize_2,rovers,1,0,0,3,0,2,1.9826874661190967,0.001303209999999999,0.9,44,0.03945,0.0339,0.045,0.004135576759129138,0.010942217322620656,0.044891542016839564,0.1751861572265625,0.33094096183776855,1.6556732654571533
rovers_instance-1_network_3_deadline_1_corrsize_2,rovers,1,0,0,3,1,2,1.3756023798299608,0.001303209999999999,0.9,44,0.5904,0.60975,0.6259,0.46768447680227293,0.5369541955521333,0.6280496964901875,0.17776083946228027,0.34392619132995605,1.6101646423339844
rovers_instance-1_network_3_deadline_2_corrsize_2,rovers,1,0,0,3,2,2,2.012858240727292,0.001303209999999999,0.9,44,0.8369,0.8409,0.8471,0.7581399252168535,0.8038279127267908,0.8478156823784835,0.17934679985046387,0.33905458450317383,2.1819608211517334
rovers_instance-2_network_1_deadline_0_corrsize_2,rovers,2,0,0,1,0,2,2.169559652115729,0.006858999999999999,0.9,26,0.1064,0.1196,0.1548,0.04347798360365461,0.08525508886515326,0.15401054421499547,0.1337275505065918,0.24590086936950684,0.6767947673797607
rovers_instance-2_network_1_deadline_1_corrsize_2,rovers,2,0,0,1,1,2,3.0865459131451174,0.006858999999999999,0.9,26,0.5147,0.52615,0.54745,0.4070229174701548,0.4762589447824237,0.54706432953218,0.13150787353515625,0.21744561195373535,0.6622529029846191
rovers_instance-2_network_1_deadline_2_corrsize_2,rovers,2,0,0,1,2,2,1.8737860792349907,0.006858999999999999,0.9,26,0.9517,0.95345,0.9544,0.9266851038569136,0.9426119697520859,0.9538535468925873,0.13083124160766602,0.22076892852783203,1.4755210876464844
rovers_instance-2_network_2_deadline_0_corrsize_2,rovers,2,0,0,2,0,2,1.9753461350851882,0.006858999999999999,0.9,26,0.1074,0.12085,0.12815,0.043434817660341296,0.06533965238373866,0.12831559574725568,0.13304638862609863,0.22211146354675293,1.0873560905456543
rovers_instance-2_network_2_deadline_1_corrsize_2,rovers,2,0,0,2,1,2,2.677695648930959,0.006858999999999999,0.9,26,0.699,0.70265,0.7219,0.6168361840248183,0.6735273561874489,0.7195928057706388,0.13682246208190918,0.25060153007507324,1.3227126598358154
rovers_instance-2_network_2_deadline_2_corrsize_2,rovers,2,0,0,2,2,2,2.1454181259305583,0.006858999999999999,0.9,26,0.9197,0.91875,0.9211,0.8803468911695539,0.9039485643720023,0.9214500833053358,0.1324169635772705,0.19244790077209473,1.0111949443817139
rovers_instance-2_network_3_deadline_0_corrsize_2,rovers,2,0,0,3,0,2,2.0276657238428255,0.006858999999999999,0.9,26,0.1058,0.13035,0.1467,0.043453039785056484,0.08018933162109207,0.1484031615178249,0.13165998458862305,0.22276735305786133,0.7296819686889648
rovers_instance-2_network_3_deadline_1_corrsize_2,rovers,2,0,0,3,1,2,2.5050217491091495,0.006858999999999999,0.9,26,0.6712,0.681,0.69155,0.534085756470561,0.5925989324500504,0.6924988729795306,0.13376736640930176,0.2114713191986084,1.3220629692077637
rovers_instance-2_network_3_deadline_2_corrsize_2,rovers,2,0,0,3,2,2,2.152657433573482,0.006858999999999999,0.9,26,0.92875,0.92945,0.9315,0.8989061919753627,0.9196519362702698,0.9309520549076558,0.1411573886871338,0.27349209785461426,1.892519235610962
rovers_instance-3_network_1_deadline_0_corrsize_2,rovers,3,0,0,1,0,2,1.0504347595506018,8.938717389999976e-06,0.9,64,0.3781,0.4041,0.41175,0.30867103153961495,0.3835345647872415,0.4152941840824705,0.3315122127532959,0.5139598846435547,1.4031236171722412
rovers_instance-3_network_1_deadline_1_corrsize_2,rovers,3,0,0,1,1,2,1.4381961966685481,8.938717389999976e-06,0.9,64,0.8917,0.8951,0.8966,0.8663272900213124,0.893864632717433,0.8996010089106459,0.33458685874938965,0.5018305778503418,1.1566746234893799
rovers_instance-3_network_1_deadline_2_corrsize_2,rovers,3,0,0,1,2,2,2.415600164047663,8.938717389999976e-06,0.9,64,0.95725,0.9594,0.96035,0.9455328520893361,0.956853943049197,0.9596478610763473,0.3356192111968994,0.4555974006652832,4.5838942527771
rovers_instance-3_network_2_deadline_0_corrsize_2,rovers,3,0,0,2,0,2,1.4916252837783501,8.938717389999976e-06,0.9,64,0.53375,0.54025,0.5526,0.43326114824637013,0.5014846225903816,0.5550781224529168,0.3308238983154297,0.48537445068359375,1.4385130405426025
